tid,ttid,did,name,task_type,status,estimation_procedure,evaluation_measures,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
359979,TaskType.SUPERVISED_CLASSIFICATION,4135,Amazon_employee_access,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,4135,target,30872.0,7518.0,1897.0,2.0,10.0,32769.0,0.0,0.0,0.0,10.0,,,,,,,,
359980,TaskType.SUPERVISED_CLASSIFICATION,1486,nomao,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1486,Class,24621.0,3.0,9844.0,2.0,119.0,34465.0,0.0,0.0,89.0,30.0,,,,,,,,
359981,TaskType.SUPERVISED_CLASSIFICATION,41027,jungle_chess_2pcs_raw_endgame_complete,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41027,class,23062.0,3.0,4335.0,3.0,7.0,44819.0,0.0,0.0,6.0,1.0,,,,,,,,
359982,TaskType.SUPERVISED_CLASSIFICATION,1461,bank-marketing,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1461,Class,39922.0,12.0,5289.0,2.0,17.0,45211.0,0.0,0.0,7.0,10.0,,,,,,,,
359983,TaskType.SUPERVISED_CLASSIFICATION,1590,adult,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1590,class,37155.0,41.0,11687.0,2.0,15.0,48842.0,3620.0,6465.0,6.0,9.0,,,,,,,,
359984,TaskType.SUPERVISED_CLASSIFICATION,41169,helena,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41169,class,4005.0,100.0,111.0,100.0,28.0,65196.0,0.0,0.0,27.0,1.0,,,,,,,,
359985,TaskType.SUPERVISED_CLASSIFICATION,41166,volkert,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41166,class,12806.0,10.0,1361.0,10.0,181.0,58310.0,0.0,0.0,180.0,1.0,,,,,,,,
359986,TaskType.SUPERVISED_CLASSIFICATION,41165,robert,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41165,class,1043.0,10.0,958.0,10.0,7201.0,10000.0,0.0,0.0,7200.0,1.0,,,,,,,,
359987,TaskType.SUPERVISED_CLASSIFICATION,40685,shuttle,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40685,class,45586.0,7.0,10.0,7.0,10.0,58000.0,0.0,0.0,9.0,1.0,,,,,,,,
359988,TaskType.SUPERVISED_CLASSIFICATION,41159,guillermo,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41159,class,11997.0,2.0,8003.0,2.0,4297.0,20000.0,0.0,0.0,4296.0,1.0,,,,,,,,
359989,TaskType.SUPERVISED_CLASSIFICATION,41161,riccardo,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41161,class,15000.0,2.0,5000.0,2.0,4297.0,20000.0,0.0,0.0,4296.0,1.0,,,,,,,,
359990,TaskType.SUPERVISED_CLASSIFICATION,41150,MiniBooNE,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41150,signal,93565.0,2.0,36499.0,2.0,51.0,130064.0,0.0,0.0,50.0,1.0,,,,,,,,
359991,TaskType.SUPERVISED_CLASSIFICATION,41162,kick,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41162,IsBadBuy,64007.0,,8976.0,2.0,33.0,72983.0,69709.0,149271.0,14.0,19.0,,,,,,,,
359992,TaskType.SUPERVISED_CLASSIFICATION,42733,Click_prediction_small,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,42733,click,33220.0,,6728.0,2.0,12.0,39948.0,0.0,0.0,5.0,7.0,,,,,,,,
359993,TaskType.SUPERVISED_CLASSIFICATION,42734,okcupid-stem,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,42734,job,36350.0,,4882.0,3.0,20.0,50789.0,48622.0,154107.0,2.0,18.0,,,,,,,,
359994,TaskType.SUPERVISED_CLASSIFICATION,42732,sf-police-incidents,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,42732,ViolentCrime,1945704.0,,269319.0,2.0,9.0,2215023.0,0.0,0.0,3.0,6.0,,,,,,,,
360112,TaskType.SUPERVISED_CLASSIFICATION,42746,KDDCup99,Supervised Classification,active,10-fold Crossvalidation,,42746,target,2807886.0,,2.0,23.0,42.0,4898431.0,0.0,0.0,32.0,10.0,,,,,,,,
360113,TaskType.SUPERVISED_CLASSIFICATION,42742,porto-seguro,Supervised Classification,active,10-fold Crossvalidation,,42742,target,573518.0,,21694.0,2.0,58.0,595212.0,470281.0,846458.0,26.0,32.0,,,,,,,,
360114,TaskType.SUPERVISED_CLASSIFICATION,42769,Higgs,Supervised Classification,active,10-fold Crossvalidation,area_under_roc_curve,42769,target,529920.0,,470080.0,2.0,29.0,1000000.0,0.0,0.0,28.0,1.0,,,,,,,,
360975,TaskType.SUPERVISED_CLASSIFICATION,43072,KDDCup09-Upselling,Supervised Classification,active,10-fold Crossvalidation,area_under_roc_curve,43072,upselling,46318.0,,3682.0,2.0,14892.0,50000.0,50000.0,19658569.0,14702.0,190.0,,,,,,,,
167210,TaskType.SUPERVISED_REGRESSION,41021,Moneyball,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,41021,RS,,39.0,,0.0,15.0,1232.0,1118.0,3600.0,9.0,6.0,,,,,,,,
233211,TaskType.SUPERVISED_REGRESSION,42225,diamonds,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42225,price,,,,0.0,10.0,53940.0,0.0,0.0,7.0,3.0,,,,,,,,
233212,TaskType.SUPERVISED_REGRESSION,42571,Allstate_Claims_Severity,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42571,loss,,,,0.0,131.0,188318.0,0.0,0.0,15.0,116.0,,,,,,,,
233213,TaskType.SUPERVISED_REGRESSION,4549,Buzzinsocialmedia_Twitter,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,4549,Annotation,,,,0.0,78.0,583250.0,0.0,0.0,78.0,0.0,,,,,,,,
233214,TaskType.SUPERVISED_REGRESSION,42572,Santander_transaction_value,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42572,target,,,,0.0,4992.0,4459.0,0.0,0.0,4992.0,0.0,,,,,,,,
233215,TaskType.SUPERVISED_REGRESSION,42570,Mercedes_Benz_Greener_Manufacturing,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42570,y,,,,0.0,377.0,4209.0,0.0,0.0,369.0,8.0,,,,,,,,
317614,TaskType.SUPERVISED_REGRESSION,42705,Yolanda,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42705,101,,,,0.0,101.0,400000.0,0.0,0.0,101.0,0.0,,,,,,,,
359929,TaskType.SUPERVISED_REGRESSION,42728,Airlines_DepDelay_10M,Supervised Regression,active,10-fold Crossvalidation,,42728,DepDelay,,,,0.0,10.0,10000000.0,0.0,0.0,7.0,3.0,,,,,,,,
359930,TaskType.SUPERVISED_REGRESSION,550,quake,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,550,col_4,,,,0.0,4.0,2178.0,0.0,0.0,4.0,0.0,,,,,,,,
359931,TaskType.SUPERVISED_REGRESSION,546,sensory,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,546,Score,,6.0,,0.0,12.0,576.0,0.0,0.0,1.0,11.0,,,,,,,,
359932,TaskType.SUPERVISED_REGRESSION,541,socmob,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,541,counts_for_sons_current_occupation,,17.0,,0.0,6.0,1156.0,0.0,0.0,2.0,4.0,,,,,,,,
359933,TaskType.SUPERVISED_REGRESSION,507,space_ga,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,507,ln(VOTES/POP),,,,0.0,7.0,3107.0,0.0,0.0,7.0,0.0,,,,,,,,
359934,TaskType.SUPERVISED_REGRESSION,505,tecator,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,505,fat,,,,0.0,125.0,240.0,0.0,0.0,125.0,0.0,,,,,,,,
359935,TaskType.SUPERVISED_REGRESSION,287,wine_quality,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,287,quality,,,,0.0,12.0,6497.0,0.0,0.0,12.0,0.0,,,,,,,,
359936,TaskType.SUPERVISED_REGRESSION,216,elevators,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,216,Goal,,,,0.0,19.0,16599.0,0.0,0.0,19.0,0.0,,,,,,,,
359937,TaskType.SUPERVISED_REGRESSION,41540,black_friday,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,41540,Purchase,,7.0,,0.0,10.0,166821.0,0.0,0.0,6.0,4.0,,,,,,,,
359938,TaskType.SUPERVISED_REGRESSION,42688,Brazilian_houses,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42688,total_(BRL),,,,0.0,13.0,10692.0,0.0,0.0,9.0,4.0,,,,,,,,
359939,TaskType.SUPERVISED_REGRESSION,422,topo_2_1,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,422,oz267,,,,0.0,267.0,8885.0,0.0,0.0,267.0,0.0,,,,,,,,
359940,TaskType.SUPERVISED_REGRESSION,416,yprop_4_1,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,416,oz252,,,,0.0,252.0,8885.0,0.0,0.0,252.0,0.0,,,,,,,,
359941,TaskType.SUPERVISED_REGRESSION,42724,OnlineNewsPopularity,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42724,shares,,,,0.0,60.0,39644.0,0.0,0.0,60.0,0.0,,,,,,,,
359942,TaskType.SUPERVISED_REGRESSION,42727,colleges,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42727,percent_pell_grant,,,,0.0,45.0,7063.0,7063.0,104249.0,33.0,12.0,,,,,,,,
359943,TaskType.SUPERVISED_REGRESSION,42729,nyc-taxi-green-dec-2016,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42729,tip_amount,,,,0.0,19.0,581835.0,0.0,0.0,10.0,9.0,,,,,,,,
359944,TaskType.SUPERVISED_REGRESSION,42726,abalone,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42726,Class_number_of_rings,,,,0.0,9.0,4177.0,0.0,0.0,8.0,1.0,,,,,,,,
359945,TaskType.SUPERVISED_REGRESSION,42730,us_crime,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42730,ViolentCrimesPerPop,,,,0.0,127.0,1994.0,1871.0,39202.0,127.0,0.0,,,,,,,,
359946,TaskType.SUPERVISED_REGRESSION,201,pol,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,201,foo,,,,0.0,49.0,15000.0,0.0,0.0,49.0,0.0,,,,,,,,
359948,TaskType.SUPERVISED_REGRESSION,41980,SAT11-HAND-runtime-regression,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,41980,runtime,,15.0,,0.0,117.0,4440.0,2715.0,27150.0,116.0,1.0,,,,,,,,
359949,TaskType.SUPERVISED_REGRESSION,42731,house_sales,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42731,price,,,,0.0,22.0,21613.0,0.0,0.0,21.0,1.0,,,,,,,,
359950,TaskType.SUPERVISED_REGRESSION,531,boston,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,531,MEDV,,9.0,,0.0,14.0,506.0,0.0,0.0,12.0,2.0,,,,,,,,
359951,TaskType.SUPERVISED_REGRESSION,42563,house_prices_nominal,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,42563,SalePrice,,,,0.0,80.0,1460.0,1460.0,6965.0,37.0,43.0,,,,,,,,
359952,TaskType.SUPERVISED_REGRESSION,574,house_16H,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,574,price,,,,0.0,17.0,22784.0,0.0,0.0,17.0,0.0,,,,,,,,
360932,TaskType.SUPERVISED_REGRESSION,3050,QSAR-TID-11,Supervised Regression,active,10-fold Crossvalidation,,3050,MEDIAN_PXC50,,,,0.0,1026.0,5742.0,0.0,0.0,1025.0,1.0,,,,,,,,
360933,TaskType.SUPERVISED_REGRESSION,3277,QSAR-TID-10980,Supervised Regression,active,10-fold Crossvalidation,,3277,MEDIAN_PXC50,,,,0.0,1026.0,5766.0,0.0,0.0,1025.0,1.0,,,,,,,,
360945,TaskType.SUPERVISED_REGRESSION,43071,MIP-2016-regression,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,43071,PAR10,,,,0.0,145.0,1090.0,0.0,0.0,144.0,1.0,,,,,,,,
